season,date,team1,team2,toss_winner,toss_decision,winner,venue
2023/24,9/24/2023,India,Australia,Australia,field,India,"Holkar Cricket Stadium, Indore"
2023,9/23/2023,England,Ireland,Ireland,field,England,"Trent Bridge, Nottingham"
2023,9/23/2023,New Zealand,Bangladesh,New Zealand,bat,New Zealand,"Shere Bangla National Stadium, Mirpur"
2023/24,9/22/2023,Australia,India,India,field,India,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
2023,9/21/2023,New Zealand,Bangladesh,Bangladesh,field,,"Shere Bangla National Stadium, Mirpur"
2023,9/17/2023,Sri Lanka,India,Sri Lanka,bat,India,"R Premadasa Stadium, Colombo"
2023/24,9/17/2023,South Africa,Australia,Australia,field,South Africa,"The Wanderers Stadium, Johannesburg"
2023,9/15/2023,Bangladesh,India,India,field,Bangladesh,"R Premadasa Stadium, Colombo"
2023,9/15/2023,England,New Zealand,England,bat,England,"Lord's, London"
2023/24,9/15/2023,South Africa,Australia,Australia,field,South Africa,"SuperSport Park, Centurion"
2023,9/14/2023,Pakistan,Sri Lanka,Pakistan,bat,Sri Lanka,"R Premadasa Stadium, Colombo"
2023,9/13/2023,England,New Zealand,New Zealand,field,England,"Kennington Oval, London"
2023/24,9/12/2023,South Africa,Australia,Australia,field,South Africa,"Sedgars Park, Potchefstroom"
2023,9/12/2023,India,Sri Lanka,India,bat,India,"R Premadasa Stadium, Colombo"
2023,9/11/2023,India,Pakistan,Pakistan,field,India,"R Premadasa Stadium, Colombo"
2023,9/10/2023,England,New Zealand,New Zealand,field,England,"The Rose Bowl, Southampton"
2023/24,9/9/2023,Australia,South Africa,South Africa,field,Australia,"Mangaung Oval, Bloemfontein"
2023,9/9/2023,Sri Lanka,Bangladesh,Bangladesh,field,Sri Lanka,"R Premadasa Stadium, Colombo"
2023,9/8/2023,England,New Zealand,New Zealand,field,New Zealand,"Sophia Gardens, Cardiff"
2023/24,9/7/2023,South Africa,Australia,Australia,field,Australia,"Mangaung Oval, Bloemfontein"
2023,9/6/2023,Bangladesh,Pakistan,Bangladesh,bat,Pakistan,"Gaddafi Stadium, Lahore"
2023,9/5/2023,Sri Lanka,Afghanistan,Sri Lanka,bat,Sri Lanka,"Gaddafi Stadium, Lahore"
2023,9/4/2023,Nepal,India,India,field,India,Pallekele International Cricket Stadium
2023,9/3/2023,Bangladesh,Afghanistan,Bangladesh,bat,Bangladesh,"Gaddafi Stadium, Lahore"
2023,9/2/2023,India,Pakistan,India,bat,,Pallekele International Cricket Stadium
2023,8/31/2023,Bangladesh,Sri Lanka,Bangladesh,bat,Sri Lanka,Pallekele International Cricket Stadium
2023,8/30/2023,Pakistan,Nepal,Pakistan,bat,Pakistan,Multan Cricket Stadium
2023,8/26/2023,Pakistan,Afghanistan,Pakistan,bat,Pakistan,"R Premadasa Stadium, Colombo"
2023,8/24/2023,Afghanistan,Pakistan,Afghanistan,bat,Pakistan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
2023,8/22/2023,Pakistan,Afghanistan,Pakistan,bat,Pakistan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
2023,8/1/2023,India,West Indies,West Indies,field,India,"Brian Lara Stadium, Tarouba, Trinidad"
2023,7/29/2023,India,West Indies,West Indies,field,West Indies,"Kensington Oval, Bridgetown, Barbados"
2023,7/27/2023,West Indies,India,India,field,India,"Kensington Oval, Bridgetown, Barbados"
2023,7/11/2023,Afghanistan,Bangladesh,Afghanistan,bat,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram"
2023,7/9/2023,Sri Lanka,Netherlands,Netherlands,field,Sri Lanka,Harare Sports Club
2023,7/8/2023,Afghanistan,Bangladesh,Bangladesh,field,Afghanistan,"Zahur Ahmed Chowdhury Stadium, Chattogram"
2023,7/7/2023,West Indies,Sri Lanka,Sri Lanka,field,Sri Lanka,Harare Sports Club
2023,7/6/2023,Scotland,Netherlands,Netherlands,field,Netherlands,"Queens Sports Club, Bulawayo"
2023,7/6/2023,United Arab Emirates,United States of America,United Arab Emirates,bat,United Arab Emirates,"Takashinga Sports Club, Highfield, Harare"
2023,7/5/2023,Oman,West Indies,West Indies,field,West Indies,Harare Sports Club
2023,7/5/2023,Bangladesh,Afghanistan,Afghanistan,field,Afghanistan,"Zahur Ahmed Chowdhury Stadium, Chattogram"
2023,7/4/2023,Scotland,Zimbabwe,Zimbabwe,field,Scotland,"Queens Sports Club, Bulawayo"
2023,7/4/2023,Nepal,Ireland,Ireland,field,Ireland,"Takashinga Sports Club, Highfield, Harare"
2023,7/3/2023,Netherlands,Oman,Oman,field,Netherlands,Harare Sports Club
2023,7/2/2023,Zimbabwe,Sri Lanka,Sri Lanka,field,Sri Lanka,"Queens Sports Club, Bulawayo"
2023,7/2/2023,United Arab Emirates,Nepal,Nepal,field,Nepal,"Takashinga Sports Club, Highfield, Harare"
2023,7/1/2023,West Indies,Scotland,Scotland,field,Scotland,Harare Sports Club
2023,6/30/2023,United States of America,Ireland,Ireland,field,Ireland,"Takashinga Sports Club, Highfield, Harare"
2023,6/30/2023,Sri Lanka,Netherlands,Sri Lanka,bat,Sri Lanka,"Queens Sports Club, Bulawayo"
